word,guide_path,category
А,static/videos/А_2531ffe7-19e0-4a4e-bd52-76dec2e8eedd.mp4,Алфавит
Б,static/videos/Б_a0e75d03-71f3-4618-8ea9-6fb0046a7889.mp4,Алфавит
В,static/videos/В_ba9bfcd8-0818-4901-af92-99c252c0f5e8.mp4,Алфавит
бык,static/videos/бык_50fa059d-c75e-4ee1-a4a5-cd5da4eabe4c.mp4,Животные
волк,static/videos/волк_8088990e-3032-4525-9b89-52080cc64ef1.mp4,Животные
коза,static/videos/коза_6a6c7342-20c4-4e5d-b386-ed778230819b.mp4,Животные
козел,static/videos/козел_b54b5135-6a20-449d-8ed4-690d44561fa7.mp4,Животные
курица,static/videos/курица_42f3dd36-8149-4707-8637-041a7f3fc92a.mp4,Животные
лошадь,static/videos/лошадь_b9f7a8f4-a6d1-46b5-bbe7-7b36e2071561.mp4,Животные
медведь,static/videos/медведь_14a6e752-ee99-4303-82b6-4946ac479805.mp4,Животные
овца,static/videos/овца_8c1fab5b-89dd-4b0f-8a67-7c5d736c783c.mp4,Животные
свинья,static/videos/свинья_f7cdefb0-edba-4c89-b82f-f3cc7752f41e.mp4,Животные
собака,static/videos/собака_18c3b9f6-5c69-4e53-8401-92170a2c2f2c.mp4,Животные
